_id,ID_DISCENTE,ANO_INGRESSO,SEMESTRE_INGRESSO,TIPO_INGRESSO,CAMPUS,COD_CURSO,CURSO,NATURALIDADE,UF_NATURALIDADE,PAIS_NATURALIDADE,BAIRRO_ENDERECO,CIDADE_ENDERECO,UF_ENDERECO,SEXO,ANO_NASC,COTA,TIPO_COTA,ESCOLARIDADE_PAI,ESCOLARIDADE_MAE,DEFICIENCIA
1,350507,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,ARCOVERDE,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2002,N,A0,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
2,349810,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,ASSARE,CE,BRA,SALGADO,CARUARU,PE,M,2002,S,L1,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
3,349323,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BARREIROS,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,2000,S,L6,ENSINO MEDIO,ENSINO FUNDAMENTAL INCOMPLETO,N
4,349733,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,TANCREDO NEVES,BELO JARDIM,PE,F,2000,S,L1,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO MEDIO,N
5,349062,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,SAO PEDRO,BELO JARDIM,PE,F,2002,S,L6,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO MEDIO,N
6,348598,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2002,S,L2,ENSINO MEDIO,SEGUNDO GRAU INCOMPLETO,N
7,346669,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,1995,S,L1,ENSINO FUNDAMENTAL INCOMPLETO,SEGUNDO GRAU INCOMPLETO,N
8,348850,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BONITO,PE,BRA,CENTRO,BONITO,PE,F,2002,S,L2,ENSINO SUPERIOR,ENSINO MEDIO,N
9,346537,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CACHOEIRINHA,PE,BRA,CENTRO,CACHOEIRINHA,PE,F,2003,S,L1,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
10,350046,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CAIEIRAS,SP,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,2000,S,L5,ENSINO MEDIO,ENSINO MEDIO,N
11,350404,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARPINA,PE,BRA,CIDADE JARDIM,CARUARU,PE,M,2003,N,A0,ENSINO MEDIO,ENSINO SUPERIOR,N
12,350521,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,canecão,BREJO DA MADRE DE DEUS,PE,F,2002,N,A0,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO SUPERIOR,N
13,349309,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CENTRO,BREJO DA MADRE DE DEUS,PE,M,2003,S,L6,"",SEGUNDO GRAU INCOMPLETO,N
14,203165,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,SALGADO,CARUARU,PE,F,1991,N,A0,"","",N
15,276268,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,CEDRO,CARUARU,PE,F,1991,S,L1,"","",N
16,236649,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,SAO FRANCISCO,CARUARU,PE,F,1992,N,A0,"","",N
17,350486,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,NOVA CARUARU,CARUARU,PE,F,1999,N,A0,ENSINO SUPERIOR,ENSINO SUPERIOR,N
18,327250,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,SANTA ROSA,CARUARU,PE,F,2000,N,A0,SUPERIOR INCOMPLETO,ENSINO FUNDAMENTAL,N
19,350384,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,MAURICIO DE NASSAU,CARUARU,PE,F,2002,N,A0,ENSINO MEDIO,ENSINO MEDIO,N
20,350400,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,BOA VISTA,CARUARU,PE,F,2002,N,A0,"",ENSINO MEDIO,N
21,348724,2021,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,CARUARU,PE,BRA,SALGADO,CARUARU,PE,F,2002,S,L2,ENSINO FUNDAMENTAL INCOMPLETO,ENSINO FUNDAMENTAL INCOMPLETO,N
